TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
Stronger,RAtt.,Drama,8786752,4211129,4575623,30000000,-21213248,2017,22-Sep-17
The Finest Hours,BV,"Action,Drama,History",49252761,27569558,21683203,70000000,-20747239,2016,29-Jan-16
Kin,LGF,"Action,Drama,Sci-Fi",10096821,5718096,4378725,30000000,-19903179,2018,31-Aug-18
Kin,LGF,"Drama,Music",10096821,5718096,4378725,30000000,-19903179,2018,31-Aug-18
The Fifth Estate,BV,"Biography,Drama,Thriller",6154172,3254172,2900000,26000000,-19845828,2013,18-Oct-13
The Tempest,Mira.,"Comedy,Drama",277943,277943,0,20000000,-19722057,2010,10-Dec-10
The Tempest,Mira.,"Comedy,Drama,Fantasy",277943,277943,0,20000000,-19722057,2010,10-Dec-10
The Tempest,Mira.,Drama,277943,277943,0,20000000,-19722057,2010,10-Dec-10
A Thousand Words,P/DW,"Comedy,Drama",20790486,18450127,2340359,40000000,-19209514,2012,9-Mar-12
All Good Things,Magn.,"Crime,Drama,Mystery",873617,582024,291593,20000000,-19126383,2010,3-Dec-10
Tulip Fever,Wein.,"Drama,History,Romance",6792768,2455635,4337133,25000000,-18207232,2017,1-Sep-17
Stone,Over.,"Action,Sci-Fi",4065020,1810078,2254942,22000000,-17934980,2010,8-Oct-10
Stone,Over.,"Crime,Drama,Thriller",4065020,1810078,2254942,22000000,-17934980,2010,8-Oct-10
Stone,Over.,"Drama,Thriller",4065020,1810078,2254942,22000000,-17934980,2010,8-Oct-10
Wolves,KE,"Action,Fantasy,Horror",94953,0,94953,18000000,-17905047,2014,14-Nov-14
Wolves,KE,"Drama,Sport",94953,0,94953,18000000,-17905047,2014,14-Nov-14
City of Ghosts,IFC,"Documentary,War",325491,325491,0,17500000,-17174509,2017,25-Apr-03
By the Sea,Uni.,Drama,3727746,538460,3189286,20000000,-16272254,2015,13-Nov-15
By the Sea,Uni.,"Drama,Romance",3727746,538460,3189286,20000000,-16272254,2015,13-Nov-15
The Beaver,Sum.,Drama,5046038,970816,4075222,21000000,-15953962,2011,6-May-11
On the Road,IFC,"Adventure,Drama,Romance",9313302,720828,8592474,25000000,-15686698,2012,22-Mar-13
On the Road,IFC,Documentary,9313302,720828,8592474,25000000,-15686698,2012,22-Mar-13
On the Road,IFC,Drama,9313302,720828,8592474,25000000,-15686698,2012,22-Mar-13
Just Getting Started,BG,"Action,Comedy",6756412,6069605,686807,22000000,-15243588,2017,8-Dec-17
Extraordinary Measures,CBS,Drama,15826984,12482741,3344243,31000000,-15173016,2010,22-Jan-10
The Lone Ranger,BV,"Action,Adventure,Western",260002115,89302115,170700000,275000000,-14997885,2013,2-Jul-13
Hands of Stone,Wein.,"Action,Biography,Drama",5031975,4712792,319183,20000000,-14968025,2016,26-Aug-16
Big Miracle,Uni.,"Biography,Drama,Family",25268680,20157300,5111380,40000000,-14731320,2012,3-Feb-12
Mortal Engines,Uni.,"Action,Adventure,Fantasy",85287417,15951040,69336377,100000000,-14712583,2018,14-Dec-18
